date,value
2002-05-07_12_00,285.06298828125
2002-05-07_06_00,280.2569885253906
2002-05-08_12_00,279.31500244140625
2002-05-08_06_00,285.8789978027344
2002-05-08_12_00,288.9590148925781
2002-05-08_06_00,290.5069885253906
2002-05-09_12_00,292.3299865722656
2002-05-09_06_00,287.7909851074219
2002-05-09_12_00,287.9169921875
2002-05-09_06_00,284.6780090332031
2002-05-10_12_00,280.7640075683594
2002-05-10_06_00,280.1400146484375
2002-05-10_12_00,289.10101318359375
2002-05-10_06_00,287.26300048828125
2002-05-11_12_00,282.4289855957031
2002-05-11_06_00,282.2850036621094
2002-05-11_12_00,279.9729919433594
2002-05-11_06_00,282.1929931640625
2002-05-12_12_00,285.30499267578125
2002-05-12_06_00,288.53900146484375
2002-05-12_12_00,283.4739990234375
2002-05-12_06_00,280.35198974609375
2002-05-13_12_00,278.5169982910156
2002-05-13_06_00,278.875
2002-05-13_12_00,282.7900085449219
2002-05-13_06_00,284.0140075683594
2002-05-14_12_00,280.0840148925781
2002-05-14_06_00,281.197998046875
2002-05-14_12_00,286.74200439453125
2002-05-14_06_00,285.5769958496094
2002-05-15_12_00,278.260986328125
2002-05-15_06_00,283.0769958496094
2002-05-15_12_00,291.9830017089844
2002-05-15_06_00,291.47698974609375
2002-05-16_12_00,288.010986328125
2002-05-16_06_00,288.3210144042969
2002-05-16_12_00,291.4179992675781
2002-05-16_06_00,280.8659973144531
2002-05-17_12_00,278.3760070800781
2002-05-17_06_00,277.5950012207031
2002-05-17_12_00,278.1700134277344
2002-05-17_06_00,277.1090087890625
2002-05-18_12_00,274.8789978027344
2002-05-18_06_00,275.8489990234375
2002-05-18_12_00,282.6889953613281
2002-05-18_06_00,280.7149963378906
2002-05-19_12_00,277.22100830078125
2002-05-19_06_00,277.67401123046875
2002-05-19_12_00,284.5589904785156
2002-05-19_06_00,281.3169860839844
2002-05-20_12_00,276.39898681640625
2002-05-20_06_00,278.0039978027344
2002-05-20_12_00,281.7430114746094
2002-05-20_06_00,278.8429870605469
2002-05-21_12_00,272.3900146484375
2002-05-21_06_00,276.697998046875
2002-05-21_12_00,285.7640075683594
2002-05-21_06_00,283.9679870605469
2002-05-22_12_00,278.6180114746094
2002-05-22_06_00,279.6990051269531
2002-05-22_12_00,289.1499938964844
2002-05-22_06_00,287.3739929199219
2002-05-23_12_00,284.2099914550781
2002-05-23_06_00,285.02301025390625
2002-05-23_12_00,291.97601318359375
2002-05-23_06_00,289.5419921875
2002-05-24_12_00,290.13299560546875
2002-05-24_06_00,281.927001953125
2002-05-24_12_00,284.14599609375
2002-05-24_06_00,280.27899169921875
2002-05-25_12_00,277.2699890136719
2002-05-25_06_00,283.81298828125
2002-05-25_12_00,286.7619934082031
2002-05-25_06_00,282.8320007324219
2002-05-26_12_00,276.2669982910156
2002-05-26_06_00,281.41900634765625
2002-05-26_12_00,293.1310119628906
2002-05-26_06_00,291.50201416015625
2002-05-27_12_00,286.197998046875
2002-05-27_06_00,286.364013671875
2002-05-27_12_00,296.3900146484375
2002-05-27_06_00,293.4849853515625
2002-05-28_12_00,290.21600341796875
2002-05-28_06_00,289.25
2002-05-28_12_00,297.21600341796875
2002-05-28_06_00,295.29901123046875
2002-05-29_12_00,292.5060119628906
2002-05-29_06_00,292.3869934082031
2002-05-29_12_00,297.7919921875
2002-05-29_06_00,296.2019958496094
2002-05-30_12_00,291.9200134277344
2002-05-30_06_00,292.2099914550781
2002-05-30_12_00,298.08099365234375
2002-05-30_06_00,297.2040100097656
2002-05-31_12_00,294.9330139160156
2002-05-31_06_00,294.11700439453125
2002-05-31_12_00,301.9700012207031
2002-05-31_06_00,295.739013671875
2002-06-01_12_00,290.5469970703125
2002-06-01_06_00,292.8909912109375
2002-06-01_12_00,303.1029968261719
2002-06-01_06_00,299.71099853515625
2002-06-02_12_00,290.5169982910156
2002-06-02_06_00,288.59100341796875
2002-06-02_12_00,294.7460021972656
2002-06-02_06_00,288.1099853515625
