date,value
2002-04-02_12_00,323.67584228515625
2002-04-02_06_00,334.98883056640625
2002-04-02_12_00,334.2989501953125
2002-04-02_06_00,329.6797790527344
2002-04-03_12_00,310.49884033203125
2002-04-03_06_00,291.90740966796875
2002-04-03_12_00,307.8304748535156
2002-04-03_06_00,310.7117919921875
2002-04-04_12_00,299.2757263183594
2002-04-04_06_00,292.5350341796875
2002-04-04_12_00,288.0376892089844
2002-04-04_06_00,298.4302673339844
2002-04-05_12_00,253.1337127685547
2002-04-05_06_00,214.33697509765625
2002-04-05_12_00,235.74085998535156
2002-04-05_06_00,295.43994140625
2002-04-06_12_00,248.61314392089844
2002-04-06_06_00,212.81492614746094
2002-04-06_12_00,226.4039764404297
2002-04-06_06_00,238.25384521484375
2002-04-07_12_00,240.38931274414062
2002-04-07_06_00,269.3163146972656
2002-04-07_12_00,315.4229736328125
2002-04-07_06_00,333.1672668457031
2002-04-08_12_00,319.5366516113281
2002-04-08_06_00,339.2404479980469
2002-04-08_12_00,357.1226501464844
2002-04-08_06_00,369.98773193359375
2002-04-09_12_00,363.712646484375
2002-04-09_06_00,337.72735595703125
2002-04-09_12_00,335.4165954589844
2002-04-09_06_00,335.5589294433594
2002-04-10_12_00,251.30116271972656
2002-04-10_06_00,246.85890197753906
2002-04-10_12_00,262.64031982421875
2002-04-10_06_00,296.0562744140625
2002-04-11_12_00,280.6955261230469
2002-04-11_06_00,286.9693603515625
2002-04-11_12_00,292.2342834472656
2002-04-11_06_00,304.0918273925781
2002-04-12_12_00,307.0224609375
2002-04-12_06_00,357.2289733886719
2002-04-12_12_00,383.43939208984375
2002-04-12_06_00,369.5879211425781
2002-04-13_12_00,348.6498107910156
2002-04-13_06_00,324.2333984375
2002-04-13_12_00,304.4792785644531
2002-04-13_06_00,339.5436096191406
2002-04-14_12_00,329.557373046875
2002-04-14_06_00,301.3631286621094
2002-04-14_12_00,350.7972106933594
2002-04-14_06_00,326.63018798828125
2002-04-15_12_00,336.4504699707031
2002-04-15_06_00,352.1369934082031
2002-04-15_12_00,351.9302673339844
2002-04-15_06_00,364.7795104980469
2002-04-16_12_00,355.1509704589844
2002-04-16_06_00,343.9327697753906
2002-04-16_12_00,361.9036865234375
2002-04-16_06_00,367.5846252441406
2002-04-17_12_00,369.08892822265625
2002-04-17_06_00,386.9056701660156
2002-04-17_12_00,400.209716796875
2002-04-17_06_00,373.42572021484375
2002-04-18_12_00,356.164306640625
2002-04-18_06_00,344.3103942871094
2002-04-18_12_00,365.6847229003906
2002-04-18_06_00,393.55767822265625
2002-04-19_12_00,380.9295959472656
2002-04-19_06_00,347.0248718261719
2002-04-19_12_00,310.0450744628906
2002-04-19_06_00,322.7862854003906
2002-04-20_12_00,353.7569580078125
2002-04-20_06_00,348.630615234375
2002-04-20_12_00,331.3746643066406
2002-04-20_06_00,337.07122802734375
2002-04-21_12_00,328.4251403808594
2002-04-21_06_00,329.01348876953125
2002-04-21_12_00,327.00775146484375
2002-04-21_06_00,325.3813171386719
2002-04-22_12_00,327.7296142578125
2002-04-22_06_00,325.9163818359375
2002-04-22_12_00,318.2524719238281
2002-04-22_06_00,319.7328796386719
2002-04-23_12_00,311.616943359375
2002-04-23_06_00,248.47772216796875
2002-04-23_12_00,269.16400146484375
2002-04-23_06_00,301.70819091796875
2002-04-24_12_00,282.8505859375
2002-04-24_06_00,282.8772888183594
2002-04-24_12_00,301.6778869628906
2002-04-24_06_00,370.7654113769531
2002-04-25_12_00,303.55316162109375
2002-04-25_06_00,229.93931579589844
2002-04-25_12_00,243.0078582763672
2002-04-25_06_00,255.65786743164062
2002-04-26_12_00,251.4951934814453
2002-04-26_06_00,241.81492614746094
2002-04-26_12_00,243.31112670898438
2002-04-26_06_00,258.17413330078125
2002-04-27_12_00,259.1759338378906
2002-04-27_06_00,316.0322265625
2002-04-27_12_00,324.2695617675781
2002-04-27_06_00,342.9781494140625
2002-04-28_12_00,359.75543212890625
2002-04-28_06_00,377.4502258300781
2002-04-28_12_00,340.9854736328125
2002-04-28_06_00,328.3116149902344
2002-04-29_12_00,324.83404541015625
2002-04-29_06_00,325.73468017578125
2002-04-29_12_00,335.9523620605469
2002-04-29_06_00,307.7040100097656
2002-04-30_12_00,271.6428527832031
2002-04-30_06_00,299.02447509765625
2002-04-30_12_00,339.3759460449219
2002-04-30_06_00,335.7962341308594
2002-05-01_12_00,336.92364501953125
2002-05-01_06_00,339.0572509765625
2002-05-01_12_00,337.3186340332031
2002-05-01_06_00,351.53936767578125
2002-05-02_12_00,354.32464599609375
2002-05-02_06_00,319.77752685546875
2002-05-02_12_00,336.35302734375
2002-05-02_06_00,272.689208984375
2002-05-03_12_00,283.9579772949219
2002-05-03_06_00,239.7659149169922
2002-05-03_12_00,242.80039978027344
2002-05-03_06_00,254.11996459960938
2002-05-04_12_00,239.93768310546875
2002-05-04_06_00,242.35426330566406
2002-05-04_12_00,268.7381896972656
2002-05-04_06_00,294.0420227050781
2002-05-05_12_00,299.4538269042969
2002-05-05_06_00,296.8584899902344
2002-05-05_12_00,306.5130310058594
2002-05-05_06_00,333.8221740722656
2002-05-06_12_00,320.87298583984375
2002-05-06_06_00,350.0849914550781
2002-05-06_12_00,383.3576354980469
2002-05-06_06_00,364.3113708496094
2002-05-07_12_00,369.55096435546875
2002-05-07_06_00,396.2937316894531
2002-05-07_12_00,346.3094787597656
2002-05-07_06_00,278.7113952636719
2002-05-08_12_00,293.3316345214844
2002-05-08_06_00,355.0085144042969
2002-05-08_12_00,371.39471435546875
2002-05-08_06_00,375.55120849609375
2002-05-09_12_00,380.4975891113281
2002-05-09_06_00,380.2270812988281
2002-05-09_12_00,339.8503723144531
2002-05-09_06_00,271.8460388183594
2002-05-10_12_00,258.2920837402344
2002-05-10_06_00,247.84829711914062
2002-05-10_12_00,282.20556640625
2002-05-10_06_00,282.91015625
2002-05-11_12_00,286.3806457519531
2002-05-11_06_00,290.1628723144531
2002-05-11_12_00,337.62139892578125
2002-05-11_06_00,344.06414794921875
